[***********; 2021/6/23 at 10:4] ;************
Axis1; ; Axis2; ; Axis3; ; Axis4
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d3; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d3; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d3; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d3; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d2; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d2; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d2; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d2; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d1; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d0; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d0; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d0; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d0; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8d0; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8cf; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8cf; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8cf; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8cf; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8ce; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8ce; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8ce; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000036; 0xfffff8ce; 0.000000; 0x0 
